# CATH_ID	S35_REPS	DOMAINS	NAME
1.20.120.330	27	139	Nucleotidyltransferases  domain 2
1.20.120.340	3	10	Flagellar protein FliS
1.20.120.350	6	84	Voltage-gated potassium channels. Chain C
1.20.120.360	1	1	Axin interactor, dorsalization-associated protein, N-terminal domain
1.20.120.380	1	1	Type 1-topoisomerase catalytic fragment, domain 2
1.20.120.390	1	8	Hla class ii histocompatibility antigen, dr alpha chain. Chain D, domain 1
1.20.120.400	1	84	Nickel-containing superoxide dismutase
1.20.120.420	5	37	translation initiation factor eif-2b, domain 1
1.20.120.430	3	7	tRNA modification GTPase MnmE domain 2
1.20.120.440	3	5	YppE-like
1.20.120.450	17	48	dinb family like domain
1.20.120.460	1	4	protein pf1176 like
1.20.120.470	1	2	Acyl-CoA dehydrogenase, C-terminal domain
1.20.120.490	2	2	Hypothetical protein TM1646-like domain
1.20.120.510	1	3	mg296 homolog like
1.20.120.520	3	17	nmb1532 protein domain like
1.20.120.530	8	28	GntR ligand-binding domain-like
1.20.120.540	1	8	Voltage-gated potassium channels
1.20.120.550	4	49	Membrane associated eicosanoid/glutathione metabolism-like domain
1.20.120.560	2	11	alix/aip1 in complex with the ypdl late domain 
1.20.120.570	1	1	YkyA-like
1.20.120.580	1	2	bsu32300-like
1.20.120.590	1	1	EF2947-like
1.20.120.600	1	1	Crystal structure from the mobile metagenome of halifax harbour sewage outfall
1.20.120.610	3	42	lithium bound rotor ring of v- atpase
1.20.120.620	1	1	Backbone structure of the membrane domain of e. Coli histidine kinase receptor kdpd,
1.20.120.630	1	1	RecG, N-terminal domain
1.20.120.640	3	8	Anticodon-binding domain of a subclass of class I aminoacyl-tRNA synthetases
1.20.120.650	1	3	Colicin D
1.20.120.660	3	8	IL-4 antagonist (De novo design) like domain
1.20.120.670	2	29	N-acetyl-b-d-glucoasminidase 
1.20.120.680	2	6	
1.20.120.690	1	3	
1.20.120.700	1	2	
1.20.120.710	1	7	
1.20.120.720	5	55	
1.20.120.730	4	34	
1.20.120.740	2	3	
1.20.120.750	1	6	
1.20.120.760	1	6	
1.20.120.770	3	23	
1.20.120.780	1	1	
1.20.120.790	3	24	
1.20.120.800	1	1	
1.20.120.810	3	9	
1.20.120.820	1	4	
1.20.120.830	2	2	
1.20.120.840	2	8	
1.20.120.850	3	6	
1.20.120.860	2	7	
1.20.120.870	1	2	
1.20.120.880	1	24	
1.20.120.890	1	2	
1.20.120.900	1	4	
1.20.120.910	3	5	
1.20.120.920	5	71	
1.20.120.930	1	4	
1.20.120.940	1	2	
1.20.120.950	1	1	
1.20.120.960	1	6	
1.20.120.970	1	1	
1.20.120.980	2	11	
1.20.120.990	1	4	
1.20.120.1000	1	2	
1.20.120.1010	1	1	
1.20.120.1020	1	5	
1.20.120.1030	1	2	
1.20.120.1040	1	3	
1.20.120.1050	1	2	
1.20.120.1060	1	1	
1.20.120.1070	1	8	
1.20.120.1080	1	1	
1.20.120.1090	1	2	
1.20.120.1100	1	1	
1.20.120.1110	2	4	
1.20.120.1120	1	10	
1.20.120.1130	1	12	
1.20.120.1140	1	4	
1.20.120.1150	1	23	
1.20.120.1160	2	26	
1.20.120.1170	1	2	
1.20.120.1180	1	8	
1.20.120.1190	1	1	
1.20.120.1200	2	6	
1.20.120.1210	1	6	
1.20.120.1220	1	2	
1.20.120.1230	1	28	
1.20.120.1240	2	11	
1.20.120.1250	1	1	
1.20.120.1260	1	6	
1.20.120.1270	2	3	
1.20.120.1280	1	5	
1.20.120.1290	1	11	
1.20.120.1300	2	17	
1.20.120.1310	1	2	
1.20.120.1320	2	5	
1.20.120.1330	1	3	
1.20.120.1340	1	1	
1.20.120.1350	3	51	
1.20.120.1360	1	1	
1.20.120.1370	1	2	
1.20.120.1380	1	13	
1.20.120.1390	1	10	
1.20.120.1400	1	10	
1.20.120.1410	1	1	
1.20.120.1420	1	5	
1.20.120.1430	1	1	
1.20.120.1440	1	1	
1.20.120.1450	1	4	
1.20.120.1460	1	6	
1.20.120.1470	1	11	
1.20.120.1480	1	11	
1.20.120.1490	4	48	
1.20.120.1500	1	1	
1.20.120.1510	1	2	
1.20.120.1520	1	2	
1.20.120.1530	1	3	
1.20.120.1540	1	1	
1.20.120.1550	1	2	
1.20.120.1560	1	6	
1.20.120.1580	1	17	
1.20.120.1590	1	1	
1.20.120.1600	1	2	
1.20.120.1610	1	9	
1.20.120.1620	5	22	
1.20.120.1630	1	1	
1.20.120.1640	1	2	
1.20.120.1650	1	5	
1.20.120.1660	1	1	
1.20.120.1680	1	1	
1.20.120.1690	1	1	
1.20.120.1700	4	13	
1.20.120.1710	1	2	
1.20.120.1720	1	2	
1.20.120.1730	1	2	
1.20.120.1740	1	1	
1.20.120.1750	1	3	
1.20.120.1760	3	12	
1.20.120.1770	1	6	
1.20.120.1780	1	12	
1.20.120.1790	1	23	
1.20.120.1800	1	20	
1.20.120.1810	1	52	
1.20.120.1820	1	2	
1.20.120.1840	1	4	
1.20.120.1850	1	5	
1.20.120.1860	1	3	
1.20.120.1870	1	7	
1.20.120.1880	1	1	
1.20.120.1890	1	3	
1.20.120.1900	1	1	
1.20.120.1910	1	2	
1.20.120.1920	1	2	
1.20.120.1930	1	1	
1.20.120.1940	1	4	
1.20.120.1950	1	8	
1.20.120.1960	1	5	
1.20.120.1980	1	2	
1.20.120.2000	1	2	
1.20.140.10	36	513	Butyryl-CoA Dehydrogenase, subunit A, domain 3
1.20.140.20	2	61	Alpha-ketoacid/pyruvate dehydrogenase kinase, N-terminal domain
1.20.140.30	3	29	MOB kinase activator
1.20.140.40	2	25	Invertase/pectin methylesterase inhibitor family protein
1.20.140.50	2	11	alix/aip1 like domains
1.20.140.60	2	61	
1.20.140.70	2	3	
1.20.140.80	1	1	
1.20.140.90	3	17	
1.20.140.100	2	12	
1.20.140.110	1	23	
1.20.140.120	1	2	
1.20.140.130	1	1	
1.20.140.140	1	4	
1.20.140.150	2	5	
1.20.140.160	2	11	
1.20.140.170	2	13	
1.20.140.180	1	4	
1.20.140.190	1	17	
1.20.141.10	4	20	Chitosanase, subunit A, domain 1
1.20.142.10	3	96	Poly(ADP-ribose) polymerase, regulatory domain
1.20.142.20	1	40	
1.20.144.10	3	34	Phosphatidic acid phosphatase type 2/haloperoxidase
1.20.150.10	2	11	Fertilization protein
1.20.150.20	1	189	
1.20.150.30	1	1	
1.20.190.10	8	29	Pesticidal crystal protein, N-terminal domain
1.20.190.20	3	213	14-3-3 domain
1.20.190.30	1	1	
1.20.190.40	1	2	
1.20.190.50	1	3	
1.20.190.60	1	2	
1.20.200.10	13	360	Fumarase/aspartase (Central domain)
1.20.200.20	1	14	She2 domain
1.20.200.30	1	24	
1.20.210.10	5	140	Cytochrome c oxidase-like, subunit I domain
1.20.225.10	2	15	Bacteriocin AS-48
1.20.225.20	1	1	
1.20.225.30	1	8	
1.20.245.10	3	73	Lipoxygenase-1; Domain 5
1.20.250.10	1	1	Colicin Ia, domain 1
1.20.272.10	14	129	
1.20.272.30	1	2	
1.20.272.40	1	2	
1.20.272.50	1	4	
1.20.272.60	1	2	
1.20.272.70	1	1	
1.20.810.10	2	117	Cytochrome Bc1 Complex; Chain C
1.20.840.10	2	90	Methyl-coenzyme M reductase, alpha/beta subunit, C-terminal
1.20.850.10	1	11	Hydroxylamine Oxidoreductase; Chain A, domain 2
1.20.860.20	1	2	Photosystem I PsaK, reaction centre
1.20.870.10	5	36	Son of sevenless (SoS) protein Chain: S domain 1
1.20.890.10	4	65	cAMP-dependent protein kinase regulatory subunit, dimerization-anchoring domain
1.20.890.20	2	31	mpn423 like domain
1.20.890.30	1	1	VCA0319-like
1.20.890.40	1	2	
1.20.890.50	1	1	
1.20.890.60	1	4	
1.20.890.70	1	3	
1.20.890.80	1	2	
1.20.890.90	2	2	
1.20.890.100	1	4	
1.20.900.10	13	91	Dbl homology (DH) domain
1.20.910.10	25	258	Heme oxygenase-like
1.20.910.20	1	1	
1.20.920.10	36	914	Bromodomain-like
1.20.920.20	5	13	
1.20.920.30	2	11	
1.20.920.40	1	9	
1.20.920.50	2	6	
1.20.920.60	1	2	
1.20.930.10	7	41	Conserved domain common to transcription factors TFIIS, elongin A, CRSP70
1.20.930.20	3	60	Adaptor protein Cbl, N-terminal domain
1.20.930.40	2	88	Transferrin receptor-like, dimerisation domain
1.20.930.50	1	3	
1.20.930.60	1	5	
1.20.930.70	1	21	
1.20.930.80	1	8	
1.20.940.10	2	6	Functional domain of the splicing factor Prp18
1.20.950.20	3	14	Transmembrane di-heme cytochromes, Chain C
1.20.960.10	2	29	Mitochondrial outer membrane translocase complex, subunit Tom20 domain
1.20.960.20	7	211	
1.20.960.30	3	20	
1.20.960.40	1	2	
1.20.960.50	1	1	
1.20.970.10	11	177	Transferase, Pyrimidine Nucleoside Phosphorylase; Chain C
1.20.970.20	1	1	Glycogen synthesis protein GlgS
1.20.970.30	1	1	
1.20.970.40	1	1	
1.20.970.50	1	10	
1.20.990.10	8	61	NADPH-cytochrome p450 Reductase; Chain A, domain 3
1.20.1000.10	1	2	Guanylate-binding protein, C-terminal domain
1.20.1020.10	3	17	TAZ domain
1.20.1050.10	90	1403	
1.20.1050.20	2	10	
1.20.1050.40	1	6	Endopeptidase. Chain P; domain 1
1.20.1050.50	2	21	Particulate methane monooxygenase subunit c2. Chain: C
1.20.1050.60	1	40	alpha-1,2-mannosidase
1.20.1050.70	1	39	
1.20.1050.80	2	12	
1.20.1050.90	1	1	
1.20.1050.100	1	4	
1.20.1050.110	1	1	
1.20.1050.120	1	21	
1.20.1050.130	5	37	
1.20.1060.10	3	214	Taq DNA Polymerase; Chain T, domain 4
1.20.1060.20	1	4	
1.20.1060.30	1	5	
1.20.1070.10	33	514	Rhopdopsin 7-helix transmembrane proteins
1.20.1070.20	1	2	
1.20.1080.10	10	192	Glycerol uptake facilitator protein.
1.20.1090.10	16	152	Dehydroquinate synthase-like - alpha domain
1.20.1110.10	3	121	Calcium-transporting ATPase, transmembrane domain
1.20.1120.10	3	41	Clostridium botulinum neurotoxin b, "coiled-coil" domain
1.20.1130.10	1	28	Photosystem I PsaA/PsaB
1.20.1130.20	1	2	
1.20.1150.12	2	13	Endoplasmic reticulum resident protein 29, C-terminal domain
1.20.1160.11	3	12	Paired amphipathic helix
1.20.1160.20	3	14	
1.20.1170.10	3	41	
1.20.1180.10	6	53	Udp N-acetylglucosamine O-acyltransferase, C-terminal domain
1.20.1200.10	6	49	Cobalamin adenosyltransferase-like
1.20.1220.12	2	51	
1.20.1220.20	1	1	
1.20.1230.10	2	3	
1.20.1240.10	2	14	Photosystem I PsaL, reaction centre subunit XI
1.20.1250.10	34	349	
1.20.1250.20	22	122	MFS general substrate transporter like domains
1.20.1250.30	3	20	
1.20.1250.40	4	62	
1.20.1250.50	2	3	
1.20.1250.60	1	6	
1.20.1250.70	2	23	
1.20.1250.80	2	13	
1.20.1250.90	1	3	
1.20.1250.110	1	14	
1.20.1260.10	58	2614	
1.20.1260.20	1	6	
1.20.1260.30	5	9	
1.20.1260.40	1	4	
1.20.1260.50	1	4	
1.20.1260.60	2	8	
1.20.1260.70	1	8	
1.20.1260.80	3	14	
1.20.1260.90	1	8	
1.20.1260.100	1	2	
1.20.1260.110	1	14	
1.20.1260.120	2	26	
1.20.1260.130	1	6	
1.20.1260.140	1	12	
1.20.1270.10	10	122	
1.20.1270.20	2	28	
1.20.1270.30	1	37	
1.20.1270.50	4	66	Glycoside hydrolase family 38, central domain
1.20.1270.60	22	134	Arfaptin homology (AH) domain/BAR domain
1.20.1270.70	2	4	Designed single chain three-helix bundle
1.20.1270.90	6	41	AF1782-like
1.20.1270.110	2	2	Uncharacterised protein family UPF0058
1.20.1270.130	2	5	Shigella T3SS effector IpaH domain
1.20.1270.140	1	2	AvrPto
1.20.1270.150	1	2	Surface Active Protein
1.20.1270.160	1	1	
1.20.1270.170	1	1	
1.20.1270.180	1	2	
1.20.1270.190	1	3	
1.20.1270.200	1	2	
1.20.1270.210	1	3	
1.20.1270.220	1	5	
1.20.1270.230	1	6	
1.20.1270.240	1	2	
1.20.1270.250	2	15	
1.20.1270.260	1	6	
1.20.1270.270	1	24	
1.20.1270.280	2	2	
1.20.1270.290	1	1	
1.20.1270.300	1	1	
1.20.1270.310	1	2	
1.20.1270.320	1	9	
1.20.1270.330	1	3	
1.20.1270.340	1	1	
1.20.1270.350	1	2	
1.20.1270.360	2	15	
1.20.1270.370	1	5	
1.20.1270.380	1	12	
1.20.1270.390	1	4	
1.20.1270.400	1	2	
1.20.1270.410	1	2	
1.20.1270.420	1	9	
1.20.1270.430	1	1	
1.20.1270.440	1	1	
1.20.1270.460	1	4	
1.20.1280.10	1	58	
1.20.1280.20	5	20	HscB, C-terminal domain
1.20.1280.30	1	58	
1.20.1280.40	1	7	HHA
1.20.1280.50	10	54	
1.20.1280.70	1	19	
1.20.1280.80	1	2	
1.20.1280.90	1	1	
1.20.1280.100	1	1	
1.20.1280.110	1	7	
1.20.1280.120	1	3	
1.20.1280.130	1	4	
1.20.1280.140	1	1	
1.20.1280.150	1	12	
1.20.1280.160	1	8	
1.20.1280.170	4	9	
1.20.1280.180	1	12	
1.20.1280.190	1	1	
1.20.1280.200	1	5	
1.20.1280.210	1	1	
1.20.1280.220	1	6	
1.20.1280.230	1	1	
1.20.1280.240	1	7	
1.20.1280.250	2	8	
1.20.1280.260	1	14	
1.20.1280.270	1	4	
1.20.1280.280	1	2	
1.20.1280.290	3	16	
1.20.1280.300	3	168	
1.20.1280.310	1	3	
1.20.1290.10	15	118	AhpD-like
1.20.1290.20	1	33	
1.20.1290.30	1	2	
1.20.1300.10	9	218	Fumarate reductase/succinate dehydrogenase, transmembrane subunit
1.20.1300.20	2	27	
1.20.1310.10	14	79	Cullin Repeats
1.20.1310.20	4	19	
1.20.1310.30	1	2	
1.20.1320.20	1	6	hef helicase domain
1.20.1320.30	2	41	
1.20.1330.10	5	17	f41 fragment of flagellin, N-terminal domain
1.20.1340.10	1	18	dopa decarboxylase, N-terminal domain
1.20.1370.10	4	10	Hemocyanin, N-terminal domain
1.20.1370.20	3	227	
1.20.1370.30	1	4	
1.20.1370.60	1	84	
1.20.1380.10	2	11	Replication modulator SeqA, C-terminal DNA-binding domain
1.20.1380.20	1	1	
1.20.1390.10	3	7	PWI domain
1.20.1390.20	1	6	
1.20.1400.10	1	2	Attractin
1.20.1410.10	3	10	I/LWEQ domain
1.20.1420.10	9	19	Talin, central domain
1.20.1420.20	3	8	
1.20.1420.30	1	18	
1.20.1420.40	1	3	
1.20.1420.50	2	3	
1.20.1420.60	1	4	
1.20.1420.70	1	17	
1.20.1430.10	3	6	Families 57/38 glycoside transferase, middle domain
1.20.1430.20	1	10	
1.20.1440.10	2	3	de novo design (two linked rop proteins)
1.20.1440.20	1	1	LemA-like domain
1.20.1440.30	2	4	Biosynthetic Protein domain
1.20.1440.40	1	1	YqcC-like
1.20.1440.50	6	11	Ta0600-like
1.20.1440.60	2	10	23S rRNA-intervening sequence
1.20.1440.70	1	3	PA2201 N-terminal domain-like
1.20.1440.80	1	6	Gap junction channel protein cysteine-rich domain
1.20.1440.90	1	6	Phosphoenolpyruvate/pyruvate domain 
1.20.1440.100	1	2	SG protein - dephosphorylation function
1.20.1440.110	2	6	acylaminoacyl peptidase
1.20.1440.120	2	9	
1.20.1440.130	1	4	
1.20.1440.140	2	3	
1.20.1440.150	1	2	
1.20.1440.160	1	3	
1.20.1440.170	1	1	
1.20.1440.180	3	75	
1.20.1440.190	1	4	
1.20.1440.200	1	7	
1.20.1440.210	3	9	
1.20.1440.220	1	5	
1.20.1440.230	2	15	
1.20.1440.240	1	8	
1.20.1440.250	1	1	
1.20.1440.260	1	1	
1.20.1440.270	1	2	
1.20.1440.280	2	18	
1.20.1440.290	1	3	
1.20.1440.300	1	2	
1.20.1440.310	1	8	
1.20.1440.320	1	1	
1.20.1440.330	1	1	
1.20.1440.340	1	2	
1.20.1440.360	1	4	
1.20.1440.370	1	2	
1.20.1450.10	1	21	Ammonia/particulate methane monooxygenase, subunit A
1.20.1460.10	1	1	subunit c (vma5p) of the yeast v-atpase, domain 2
1.20.1460.20	1	1	
1.20.1480.10	1	1	hypothetical protein mp506/mpn330, domain 1
1.20.1480.20	1	2	MAST3 pre-PK domain-like
1.20.1480.30	2	4	Designed four-helix bundle protein
1.20.1480.40	1	1	
1.20.1480.50	1	8	
1.20.1500.10	3	12	YheA/YmcA-like
1.20.1500.20	2	8	
1.20.1510.10	1	6	Cation efflux protein transmembrane domain
1.20.1520.10	1	1	ADP-ribosylation factor-like 2-binding protein, domain
1.20.1530.10	1	10	Na+/H+ antiporter like domain
1.20.1530.20	2	8	
1.20.1540.10	1	32	Rhomboid-like
1.20.1550.10	1	11	DsbB-like
1.20.1560.10	9	65	ABC transporter type 1, transmembrane domain
1.20.1570.10	1	4	dip2346 domain like
1.20.1580.10	4	30	ABC transporter ATPase  like domain
1.20.1590.10	2	2	YP_001051499.1 domain like
1.20.1600.10	6	53	Outer membrane efflux proteins (OEP) 
1.20.1610.10	2	41	alpha-1,2-mannosidases domains
1.20.1630.10	1	8	Formate dehydrogenase/DMSO reductase domain
1.20.1640.10	2	294	Multidrug efflux transporter AcrB transmembrane domain
1.20.1650.10	1	2	PLP-dependent transferases
1.20.1660.10	1	2	Hypothetical protein (EF3068)
1.20.1670.10	1	16	Type II deoxyuridine triphosphatase
1.20.1680.10	1	16	Type II deoxyuridine triphosphatase
1.20.1690.10	2	8	V-type ATP synthase subunit C domain
1.20.1690.20	2	8	
1.20.1690.30	1	2	
1.20.1690.40	1	2	
1.20.1700.10	1	2	AF1104-like
1.20.1700.20	1	3	
1.20.1710.10	5	36	IpaD-like
1.20.1720.10	1	1	Multidrug resistance protein D
1.20.1730.10	1	1	Sodium/glucose cotransporter
1.20.1740.10	1	1	Amino acid/polyamine transporter I
1.25.10.10	83	606	Leucine-rich Repeat Variant
1.25.10.20	1	1	Vitellinogen, superhelical
1.25.10.30	1	7	IP3 receptor type 1 binding core, RIH domain
1.25.10.50	1	12	
1.25.10.60	1	3	
1.25.10.70	1	1	
1.25.10.90	1	18	
1.25.10.100	1	2	
1.25.10.110	4	16	
1.25.10.120	1	13	
1.25.20.10	1	3	Bacterial muramidases
1.25.40.10	155	721	
1.25.40.20	54	480	Ankyrin repeat-containing domain
1.25.40.30	1	3	
1.25.40.40	1	62	Cytochrome c oxidase, subunit Va/VI
1.25.40.60	3	17	
1.25.40.70	7	157	
1.25.40.80	10	81	
1.25.40.90	16	131	
1.25.40.120	4	153	Protein prenylyltransferase
1.25.40.150	1	1	
1.25.40.170	1	1	Smaug, PHAT domain
1.25.40.180	23	110	
1.25.40.190	2	20	Actin-related protein 2/3 complex subunit 5
1.25.40.200	1	16	Ran-GTPase activating protein 1, C-terminal domain
1.25.40.210	2	17	Telomere repeat-binding factor, dimerisation domain
1.25.40.240	3	4	Ku, C-terminal domain
1.25.40.250	1	1	ARM repeat; domain 1
1.25.40.270	2	13	Vacuolar protein sorting-associated protein vta1
1.25.40.280	4	31	alix/aip1 like domains
1.25.40.290	2	4	ARM repeat domains
1.25.40.300	2	13	Putative secreted effector protein
1.25.40.310	1	2	
1.25.40.320	3	60	
1.25.40.330	1	6	
1.25.40.340	2	12	
1.25.40.350	1	2	
1.25.40.370	1	6	
1.25.40.380	1	2	
1.25.40.390	27	80	
1.25.40.400	1	41	
1.25.40.410	2	7	
1.25.40.420	5	9	
1.25.40.430	3	11	
1.25.40.440	1	1	
1.25.40.450	1	1	
1.25.40.460	1	6	
1.25.40.470	2	6	
1.25.40.480	1	1	
1.25.40.490	1	1	
1.25.40.500	3	14	
1.25.40.510	1	6	
1.25.40.520	1	8	
1.25.40.530	2	5	
1.25.40.540	2	4	
1.25.40.550	1	9	
1.25.40.560	1	1	
1.25.40.570	6	12	
1.25.40.580	1	12	
1.25.40.590	3	6	
1.25.40.600	1	3	
1.25.40.610	2	3	
1.25.40.620	1	5	
1.25.40.630	2	4	
1.25.40.640	1	1	
1.25.40.650	2	3	
1.25.40.660	1	2	
1.25.40.670	1	1	
1.25.40.680	1	4	
1.25.40.690	1	11	
1.25.40.700	2	3	
1.25.40.710	1	1	
1.25.40.720	1	4	
1.25.40.730	1	16	
1.25.40.740	1	1	
1.25.40.750	1	5	
1.25.40.760	1	2	
1.25.40.770	1	1	
1.25.40.780	1	9	
1.25.40.790	2	12	
1.25.40.800	2	12	
1.25.40.810	1	1	
1.25.40.820	1	6	
1.25.40.830	2	13	
1.25.40.840	1	1	
1.25.40.850	1	12	
1.25.40.860	1	1	
1.25.40.880	1	29	
1.25.40.890	1	2	
1.25.40.900	2	7	
1.25.40.920	1	5	
1.25.40.930	1	2	
1.25.40.950	1	2	
1.25.40.960	2	6	
1.25.40.970	1	16	
1.25.40.980	1	4	
1.25.40.990	2	6	
1.25.40.1000	1	14	
1.25.40.1010	1	8	
1.25.40.1020	1	4	
1.25.40.1030	1	4	
1.25.40.1040	3	19	
1.25.50.10	4	71	Peptidase M1, alanyl aminopeptidase, C-terminal domain
1.25.50.20	4	69	
1.25.60.10	2	11	MgtE N-terminal domain-like
1.25.70.10	1	1	Transcription termination factor 3, mitochondrial
1.40.10.10	2	12	Peridinin-chlorophyll A binding
1.40.20.10	1	1	CHAD domain
1.50.10.10	46	374	
1.50.10.20	26	379	
1.50.10.100	15	96	Chondroitin AC/alginate lyase
1.50.10.130	3	79	Terpene synthase, N-terminal domain
1.50.10.140	1	8	
1.50.10.150	1	13	
1.50.10.160	1	18	
1.50.40.10	2	10	Mitochondrial carrier domain
2.10.10.10	5	43	Fibronectin, type II, collagen-binding
2.10.10.20	5	60	Carbohydrate-binding module superfamily 5/12
2.10.10.30	1	13	
2.10.10.40	1	1	
2.10.10.50	2	9	
2.10.10.60	1	32	
2.10.10.70	1	65	
2.10.10.80	1	16	
2.10.10.90	1	19	
2.10.22.10	2	15	Antistasin; domain 1
2.10.25.10	87	796	Laminin
2.10.25.20	6	32	reovirus attachment protein sigma1; domain 1
2.10.25.30	1	7	EGF-like, alliinase
2.10.25.40	1	2	
2.10.25.60	1	2	
2.10.25.80	1	3	
2.10.25.90	1	2	
2.10.25.110	1	1	
2.10.25.140	1	3	
2.10.25.150	1	1	
2.10.50.10	25	207	Tumor Necrosis Factor Receptor, subunit A, domain 2
2.10.50.20	1	1	Inosine monophosphate dehydrogenase (IMPDH)
2.10.50.30	1	9	
2.10.55.10	1	1	Leishmanolysin domain 3
2.10.60.10	27	340	CD59
2.10.60.20	1	4	
2.10.69.10	5	34	Cysteine Protease (Bromelain) Inhibitor, subunit H
2.10.70.10	61	524	Complement Module, domain 1
2.10.70.20	1	1	gspk-gspi-gspj complex like domains
2.10.70.30	1	1	Ta1353-like
2.10.70.40	1	7	peptidoglycan hydrolase 
2.10.70.50	1	3	
2.10.70.60	3	3	
2.10.70.70	4	30	
2.10.70.80	1	4	
2.10.70.90	2	6	
2.10.70.100	1	4	
2.10.77.10	7	649	Hemagglutinin Chain A, Domain 2
2.10.80.10	4	14	Lipase, subunit A
2.10.80.20	1	1	
2.10.90.10	26	408	Cystine-knot cytokines
2.10.109.10	8	69	Umud Fragment, subunit A
2.10.110.10	29	97	Cysteine Rich Protein
2.10.110.20	1	38	
2.10.110.30	1	20	
2.10.110.40	1	6	
2.10.150.10	2	70	Urease, beta subunit
2.10.160.10	1	5	Vascular endothelial growth factor, heparin-binding domain
2.10.210.10	3	46	Cytochrome Bc1 Complex; Chain I
2.10.220.10	17	142	Hormone Receptor, Insulin-like Growth Factor Receptor 1; Chain A, domain 2
2.10.230.10	2	3	Heat shock protein DnaJ, cysteine-rich domain
2.10.230.20	1	79	
2.10.240.10	1	5	Dihydroorotate dehydrogenase, electron transfer subunit
2.10.250.10	4	4	Calreticulin/calnexin, P domain
2.10.260.10	9	41	
2.10.260.20	1	4	
2.10.260.30	1	2	
2.10.260.40	1	11	
2.10.270.10	11	67	Cholin Binding
2.10.270.20	1	6	
2.10.280.10	1	1	heat- and protease-stable fragment of the bacteriophage t4 short fibre, domain 1
2.10.290.10	1	2	YfgJ-like
2.10.300.10	1	2	Porin MspA ribbon domain
2.10.300.20	1	2	
2.10.310.10	1	2	Serpins superfamily
2.20.20.10	9	29	Anthopleurin-A
2.20.20.20	1	3	Baseplate structural protein gp11
2.20.20.30	2	3	reverse gyrase domain 
2.20.20.40	1	4	Integron cassette protein 
2.20.20.50	1	6	
2.20.20.60	1	1	
2.20.20.70	1	1	
2.20.20.80	1	3	
2.20.20.90	3	4	
2.20.20.100	2	6	
2.20.20.110	1	5	
2.20.20.120	1	5	
2.20.20.130	3	5	
2.20.25.10	31	353	
2.20.25.20	5	40	
2.20.25.30	5	186	
2.20.25.80	1	3	WRKY domain
2.20.25.90	5	24	ADC-like domains
2.20.25.100	1	2	Zn-binding ribosomal proteins
2.20.25.110	3	8	S-adenosyl-L-methionine-dependent methyltransferases
2.20.25.120	1	4	
2.20.25.130	1	3	
2.20.25.140	1	6	
2.20.25.150	1	2	
2.20.25.160	1	24	
2.20.25.170	1	1	
2.20.25.180	1	1	
2.20.25.190	1	1	
2.20.25.200	1	5	
2.20.25.210	1	10	
2.20.25.220	1	10	
2.20.25.230	1	1	
2.20.25.240	1	1	
2.20.25.250	1	1	
2.20.25.260	1	2	
2.20.25.270	1	2	
2.20.25.280	1	1	
2.20.25.290	2	17	
2.20.25.300	1	1	
2.20.25.310	1	1	
2.20.25.320	3	8	
2.20.25.330	4	50	
2.20.25.340	1	36	
2.20.25.350	1	2	
2.20.25.360	2	22	
2.20.25.370	1	1	
2.20.25.380	1	1	
2.20.25.390	1	1	
2.20.25.400	2	5	
2.20.25.410	1	10	
2.20.25.420	2	2	
2.20.25.430	1	3	
2.20.25.440	1	2	
2.20.25.450	1	3	
2.20.25.460	2	6	
2.20.25.470	1	1	
2.20.25.480	1	10	
2.20.25.490	1	3	
2.20.25.500	1	8	
2.20.25.510	2	2	
2.20.25.520	1	23	
2.20.25.530	1	1	
2.20.25.540	2	2	
2.20.25.550	1	6	
2.20.25.560	1	1	
2.20.25.570	1	18	
2.20.25.580	1	18	
2.20.25.590	1	6	
2.20.25.610	1	9	
2.20.25.620	1	4	
2.20.25.630	1	3	
2.20.25.640	1	55	
2.20.25.650	2	12	
2.20.25.660	1	47	
2.20.28.10	13	197	
2.20.28.20	1	11	Methionyl-tRNA synthetase, Zn-domain
2.20.28.30	3	126	RNA polymerase ii, chain L
2.20.28.40	1	17	H/ACA ribonucleoprotein complex, subunit Nop10
2.20.28.50	4	6	degv family protein
2.20.28.60	2	39	
2.20.28.70	1	52	
2.20.28.80	1	1	
2.20.28.90	1	10	
2.20.28.100	1	18	
2.20.28.110	1	1	
2.20.28.120	5	248	
2.20.28.130	2	4	
2.20.28.140	4	17	
2.20.28.150	2	2	
2.20.28.160	1	8	
2.20.28.170	1	14	
2.20.28.180	1	1	
2.20.28.190	1	1	
2.20.28.200	1	27	
2.20.28.210	1	2	
2.20.28.230	2	23	
2.20.28.240	1	1	
2.20.28.260	1	2	
2.20.28.270	2	3	
2.20.28.280	1	17	
2.20.50.20	1	1	Lipovitellin. Chain A, domain 3
2.20.60.10	2	3	Pleiotrophin/Midkine, N-terminal domain
2.20.70.10	26	107	
2.20.70.20	1	12	
2.20.70.30	3	6	
2.20.70.40	1	4	
2.20.70.60	1	2	
2.20.70.70	2	3	
2.20.70.80	1	2	
2.20.70.90	1	4	
2.20.70.100	2	8	
2.20.70.110	1	12	
2.20.70.120	1	6	
2.20.70.130	1	6	
2.20.80.10	1	1	Lipovitellin-phosvitin complex, chain A, domain 4
2.20.90.10	1	1	Vitellinogen, beta-sheet shell domain
2.20.100.10	5	19	Thrombospondin type-1 (TSP1) repeat
